Core;Core.ID;Ecosystem;Location;V vs B;Status;Specie;Life form;Lat;Long;Bioregions;Habitat.type;Water.Depth;Sampling Year;Min.Depth;Max.Depth;DBD;Corg;Corg_ gcm3;d13C;Mud
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;0;1.6854;0.498950844;2.006013075;0.010009019;-14.53059594;2.90112515
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;1.6854;3.3708;0.580610661;1.869861427;0.010856615;;3.072209798
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;3.3708;5.0562;0.639159977;1.73370978;0.011081179;;2.625795552
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;5.0562;15.1686;0.476473905;2.460607187;0.011724151;-11.58241744;2.621949503
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;13.4832;16.854;0.580087536;2.686103147;0.01558175;-8.859476364;2.233697031
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;20.2248;21.9102;0.485518155;1.703139907;0.008269053;-10.15392339;
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;21.9102;23.5956;0.492423406;1.767100747;0.008701618;;1.548434101
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;23.5956;25.281;0.416953901;1.831061587;0.007634683;;3.591152074
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;25.281;26.9664;0.427422214;3.398529071;0.014526068;;2.16015823
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;32.0226;33.708;0.534924408;2.300618499;0.01230657;;2.806301133
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;33.708;35.3934;0.532628471;3.325858787;0.017714471;;2.120676618
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;35.3934;37.0788;0.72106392;2.374168674;0.017119274;;2.021872437
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;37.0788;38.7642;0.675249792;1.422478562;0.009605284;-10.52934535;2.762198702
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;43.8204;45.5058;0.471446092;3.033923912;0.014303316;;3.604261863
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;50.562;52.2474;0.411182088;4.290050739;0.01763992;;
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;60.6744;62.3598;0.662642479;1.165890052;0.007725683;;2.913759124
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;80.8992;82.5846;0.5964381;2.406926406;0.014355826;;3.390327033
Sg_001;F;Seagrass;Oyster Harbour;Vegetated;;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;2012;91.0116;92.697;0.578204286;1.449953425;0.008383693;;2.521115749
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;0;1.0909;1.026833864;5.535566763;0.056841074;-11.47848454;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;2.1818;3.2727;0.957061235;2.183609506;0.02089848;-11.42848454;2.166006861
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;4.3636;5.4545;0.336021897;2.700004672;0.009072607;;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;6.5454;7.6363;0.445205347;2.047186968;0.009114186;-11.37848454;1.314550029
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;8.7272;9.8181;0.637030172;3.113969034;0.019836922;-11.5524915;2.791271061
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;10.909;11.9999;0.719532527;1.908925333;0.013735339;-11.50431524;1.297044956
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;13.0908;14.1817;0.830079185;2.712312524;0.022514342;-11.31774292;1.549833733
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;15.2726;16.3635;0.835009039;2.097517697;0.017514462;-11.2949753;1.611703213
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;17.4544;18.5453;0.451955697;2.219053403;0.010029138;-10.64264196;1.48583585
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;19.6362;20.7271;0.735174539;1.626088076;0.011954586;-10.41905348;1.474121594
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;21.818;22.9089;0.755607893;2.52852619;0.019105743;-9.871279433;1.527558957
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;23.9998;25.0907;1.036120687;1.427822785;0.014793967;-9.588597259;1.598563749
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;26.1816;27.2725;0.930496244;0.997777798;0.009284285;-10.05525731;1.249881487
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;28.3634;29.4543;1.221219605;0.921333003;0.011251499;;1.3498618
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;30.5452;31.6361;0.894065945;1.277100855;0.011418124;-10.56263043;1.68E-08
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;32.727;33.8179;1.008554551;1.040525793;0.01049427;;3.36E-07
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;34.9088;35.9997;1.279600255;0.554740566;0.007098462;-11.07000355;3.85E-07
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;37.0906;38.1815;1.152832591;0.744139383;0.008578681;-11.14336525;7.72E-07
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;39.2724;40.3633;1.130370465;0.492321666;0.005565059;-11.21672696;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;41.4542;42.5451;1.203877785;0.290837304;0.003501326;-12.22605084;
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;43.636;44.7269;1.053294462;0.616155485;0.006489932;-9.91145715;71.53116627
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;45.8178;46.9087;1.082012985;0.203631155;0.002203316;-13.10531157;9.16E-07
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;47.9996;49.0905;1.186130617;0.20809459;0.002468274;-13.04625913;78.80372635
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;50.1814;51.2723;1.05259529;0.236245807;0.002486712;-12.52772544;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;52.3632;53.4541;0.854145385;0.184954096;0.001579777;-13.39855638;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;54.545;55.6359;0.985110121;0.140645283;0.001385511;-14.45699995;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;56.7268;57.8177;1.2774676;0.195600589;0.002498734;-13.18508035;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;58.9086;59.9995;1.285681477;0.307887322;0.00395845;-12.16928841;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;61.0904;62.1813;0.903159771;0.141144644;0.001274762;-13.87319203;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;63.2722;64.3631;0.988904392;0.312173292;0.003087095;-11.84873126;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;65.454;66.5449;0.879842648;0.668368975;0.005880595;-11.18346037;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;67.6358;68.7267;0.822700955;0.484908724;0.003989349;-11.49160473;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;69.8176;70.9085;1.067970974;0.258900855;0.002764986;-13.62217939;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;71.9994;73.0903;1.130898027;0.477129925;0.005395853;-12.24856659;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;74.1812;75.2721;1.097063272;0.262995193;0.002885224;-12.66655448;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;76.363;77.4539;0.98704112;0.183780568;0.00181399;-14.45267417;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;78.5448;79.6357;1.199169446;0.142803931;0.001712461;-15.59355921;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;80.7266;81.8175;1.357110121;0.25180739;0.003417304;-12.66281158;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;82.9084;83.9993;1.060147677;0.139724312;0.001481284;-16.18864124;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;85.0902;86.1811;1.176033609;0.098222654;0.001155131;-15.3247465;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;87.272;88.3629;1.615093571;0.1767741;0.002855067;-15.36282333;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;89.4538;90.5447;1.486882241;0.097205598;0.001445333;-16.63462821;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;91.6356;92.7265;1.302819605;0.15208937;0.00198145;-15.72239268;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;93.8174;94.9083;1.421322979;0.206973142;0.002941757;-14.81015715;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;95.9992;97.0901;1.853863272;0.082859613;0.001536104;-18.95263654;0
Sg_002;M;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;2012;98.181;99.13735251;1.715047231;0.056790551;0.000973985;-17.29453721;3.40E-07
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;0;1.1127;0.766044105;3.578445308;0.027412469;;1.349793987
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;2.2254;3.3381;0.875465139;1.644646085;0.014398303;-18.71526737;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;4.4508;5.5635;0.868999279;2.339705114;0.020332021;-13.33372787;1.782908962
